840.0,5,240,10,0.8754789233207703,1.0
480.0,2,240,10,0.8748103380203247,1.0
240.0,0,240,10,0.7541459202766418,0.9611278176307678
35.0,5,10,10,0.5740740895271301,0.99643874168396
20.0,2,10,10,0.5637417435646057,0.9718543291091919
10.0,0,10,10,0.5412280559539795,0.8975765109062195
420.0,5,120,10,0.8380024433135986,1.0
240.0,2,120,10,0.7541729807853699,0.9981021285057068
120.0,0,120,10,0.7019071578979492,0.961438775062561
210.0,5,60,10,0.7849003076553345,1.0
120.0,2,60,10,0.6921202540397644,0.9553117752075195
60.0,0,60,10,0.597844123840332,0.9020420908927917
